date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,(Commonwealthofthe),14,0,2,0
2020/01/01,(Commonwealthofthe),14,0,2,0
2020/01/01,(Commonwealthofthe),15,1,2,0
2020/01/01,(Commonwealthofthe),15,0,2,0
2020/01/01,(Commonwealthofthe),15,0,2,0
2020/01/01,Afghanistan,2469,0,72,0
2020/01/01,Afghanistan,3224,755,95,23
2020/01/01,Afghanistan,3392,168,104,9
2020/01/01,Afghanistan,3563,171,105,1
2020/01/01,Afghanistan,3563,0,105,0
2020/01/01,Afghanistan,4402,839,119,14
2020/01/01,Albania,832,12,31,0
2020/01/01,Algeria,4648,174,465,2
2020/01/01,Algeria,4997,159,476,6
2020/01/01,Algeria,5182,185,483,7
2020/01/01,Algeria,5369,187,488,5
2020/01/01,Algeria,5558,189,494,6
2020/01/01,Andorra,751,2,45,0
2020/01/01,Andorra,751,0,46,1
2020/01/01,Andorra,752,1,47,1
2020/01/01,Andorra,754,2,47,0
2020/01/01,Andorra,754,0,48,1
2020/01/01,AntiguaandBarbuda,25,0,3,0
2020/01/01,AntiguaandBarbuda,25,0,3,0
2020/01/01,AntiguaandBarbuda,25,0,3,0
2020/01/01,AntiguaandBarbuda,25,0,3,0
2020/01/01,Argentina,4799,118,250,9
2020/01/01,Argentina,4922,123,262,12
2020/01/01,Argentina,5076,154,264,2
2020/01/01,Argentina,5305,229,275,11
2020/01/01,Argentina,5530,225,289,14
2020/01/01,Argentina,5680,150,297,8
2020/01/01,Armenia,2884,102,42,2
2020/01/01,Armenia,3029,145,43,1
2020/01/01,Armenia,3175,146,44,1
2020/01/01,Australia,6825,24,95,0
2020/01/01,Australia,6849,24,96,1
2020/01/01,Australia,6875,26,97,1
2020/01/01,Australia,6896,21,97,0
2020/01/01,Australia,6914,18,97,0
2020/01/01,Austria,15621,24,600,2
2020/01/01,Austria,15651,65,608,2
2020/01/01,Austria,15673,22,609,1
2020/01/01,Austria,15735,62,614,5
2020/01/01,Austria,15777,42,615,1
2020/01/01,Azerbaijan,1984,52,26,1
2020/01/01,Azerbaijan,2060,76,26,0
2020/01/01,Azerbaijan,2127,67,28,2
2020/01/01,Azerbaijan,2279,75,28,0
2020/01/01,Bahamas,83,1,11,0
